Frequency,Acceleration
1059,0.000409600
1061,0.000423400
1063,0.000406800
1064,0.000363700
1066,0.000400900
1067,0.000476000
1069,0.000320300
1070,0.000476900
1072,0.000445700
1073,0.000420200
1075,0.000529500
1077,0.000881200
1078,0.000740700
1080,0.000558000
1081,0.000605400
1083,0.000464800
1084,0.000632800
1086,0.000573200
1088,0.000707800
1089,0.000530100
1091,0.000550200
1092,0.000757700
1094,0.000808100
1095,0.000592200
1097,0.000579300
1098,0.001323000
1100,0.033760000
1102,0.060570000
1103,0.027250000
1105,0.001070000
1106,0.000562700
1108,0.000512800
1109,0.000559600
1111,0.000471000
1113,0.000407200
1114,0.000430100
1116,0.000322400
1117,0.000293500
1119,0.000373200
1120,0.000308100
1122,0.000254000
1123,0.000896700
1125,0.000970000
1127,0.000341900
1128,0.000240400
1130,0.000275400
1131,0.000237900
1133,0.000267700
1134,0.000308600
1136,0.000475400
1138,0.000424000
1139,0.000594600
1141,0.000707600
1142,0.000715200
1144,0.000665500
1145,0.000599800
1147,0.000723000
1148,0.000765800
1150,0.000681000
1152,0.000580500
1153,0.000695600
1155,0.000801800
1156,0.000679500
1158,0.000509900
1159,0.000460700
1161,0.000535000
1163,0.000477000
1164,0.000453800
1166,0.000563500
1167,0.000615000
1169,0.000396700
1170,0.000649900
1172,0.000832400
1173,0.000518400
1175,0.001357000
1177,0.001572000
1178,0.001597000
1180,0.001803000
1181,0.000605100
1183,0.000585100
1184,0.000493700
1186,0.000753800
1188,0.001069000
1189,0.000979000
1191,0.000720000
1192,0.000411800
1194,0.000846800
1195,0.000703600
1197,0.000818700
1198,0.001003000
1200,0.013740000
1202,0.028230000
1203,0.014610000
1205,0.000673100
1206,0.000424000
1208,0.000449100
1209,0.000378600
1211,0.000476800
1213,0.000513300
1214,0.000392800
1216,0.000397700
1217,0.000308900
1219,0.000245900
1220,0.000224000
1222,0.000320200
1223,0.000742000
1225,0.000949200
1227,0.000546800
1228,0.001039000
1230,0.000940500
1231,0.000618900
1233,0.000698500
1234,0.000455700
1236,0.000403200
1238,0.000575900
1239,0.000504000
1241,0.000463100
1242,0.000496500
1244,0.000471100
1245,0.000275200
1247,0.000525600
1248,0.000520900
1250,0.000496600
1252,0.000671700
1253,0.000514000
1255,0.000498900
1256,0.000578600
1258,0.000393900
1259,0.000401300
1261,0.000428500
1263,0.000559600
1264,0.000415900
1266,0.000192100
1267,0.000511600
1269,0.000540000
1270,0.000792400
1272,0.001074000
1273,0.000565000
1275,0.000764600
1277,0.000856700
1278,0.001179000
1280,0.001598000
1281,0.001076000
1283,0.000839000
1284,0.000461200
1286,0.000309900
1288,0.000333200
1289,0.000351700
1291,0.000379700
1292,0.000583400
1294,0.000690400
1295,0.000848500
1297,0.000786700
1298,0.000628000
1300,0.007200000
1302,0.017180000
1303,0.010150000
1305,0.000708100
1306,0.000634500
1308,0.000560700
1309,0.000576700
1311,0.000500400
1313,0.000340600
1314,0.000277900
1316,0.000373300
1317,0.000509500
1319,0.000499500
1320,0.000383400
1322,0.000421300
1323,0.001254000
1325,0.001394000
1327,0.000542200
1328,0.000496000
1330,0.000326000
1331,0.000238000
1333,0.000258900
1334,0.000217700
1336,0.000180000
1338,0.000210700
1339,0.000229000
1341,0.000282900
1342,0.000245300
1344,0.000277100
1345,0.000252900
1347,0.000319600
1348,0.000273700
1350,0.000245100
1352,0.000343200
1353,0.000248900
1355,0.000245800
1356,0.000316500
1358,0.000411300
1359,0.000271300
1361,0.000440500
1363,0.000493200
1364,0.000415400
1366,0.000335700
1367,0.000330600
1369,0.000379500
1370,0.000509600
1372,0.000771300
1373,0.000751800
1375,0.000866400
1377,0.001077000
1378,0.000667400
1380,0.000790700
1381,0.000271100
1383,0.000277900
1384,0.000286600
1386,0.000395600
1388,0.000275100
1389,0.000336200
1391,0.000487800
1392,0.000500200
1394,0.000424400
1395,0.000466900
1397,0.000302200
1398,0.000368100
1400,0.004570000
1402,0.011900000
1403,0.007820000
1405,0.000702700
1406,0.000324500
1408,0.000362300
1409,0.000392400
1411,0.000476000
1413,0.000369200
1414,0.000257800
1416,0.000258400
1417,0.000230200
1419,0.000191900
1420,0.000146300
1422,0.000185400
1423,0.000429100
1425,0.000578300
1427,0.000366300
1428,0.000195600
1430,0.000159200
1431,0.000216000
1433,0.000303800
1434,0.000321000
1436,0.000328100
1438,0.000405500
1439,0.000349500
1441,0.000312000
1442,0.000356300
1444,0.000229600
1445,0.000333100
1447,0.000484300
1448,0.000586700
1450,0.000570000
1452,0.001085000
1453,0.000768600
1455,0.000339500
1456,0.000244900
1458,0.000213000
1459,0.000272700
1461,0.000196600
1463,0.000271600
1464,0.000259500
1466,0.000249300
1467,0.000357600
1469,0.000289300
1470,0.000398900
1472,0.000504500
1473,0.000371200
1475,0.000463600
1477,0.000873200
1478,0.000631600
1480,0.001107000
1481,0.000589200
1483,0.000219000
1484,0.000175100
1486,0.000167000
1488,0.000194800
1489,0.000181400
1491,0.000168400
1492,0.000194500
1494,0.000174900
1495,0.000189300
1497,0.000217000
1498,0.000331100
1500,0.002869000
1502,0.008527000
1503,0.006276000
1505,0.000744800
1506,0.000229400
1508,0.000186700
1509,0.000246500
1511,0.000244500
1513,0.000243000
1514,0.000240400
1516,0.000245000
1517,0.000199200
1519,0.000157000
1520,0.000223500
1522,0.000223500
1523,0.000328900
1525,0.000557400
1527,0.000375400
1528,0.000162000
1530,0.000164400
1531,0.000209000
1533,0.000203700
1534,0.000194200
1536,0.000209100
1538,0.000219600
1539,0.000180100
1541,0.000149500
1542,0.000145000
1544,0.000158400
1545,0.000148900
1547,0.000173300
1548,0.000165800
1550,0.000333100
1552,0.000452500
1553,0.000358500
1555,0.000313100
1556,0.000317000
1558,0.000294500
1559,0.000278100
1561,0.000209100
1563,0.000237600
1564,0.000221400
1566,0.000302100
1567,0.000241900
1569,0.000163500
1570,0.000243500
1572,0.000327600
1573,0.000274000
1575,0.000289700
1577,0.000287600
1578,0.000269700
1580,0.000332800
1581,0.000327400
1583,0.000223300
1584,0.000333800
1586,0.000359800
1588,0.000413000
1589,0.000366700
1591,0.000445300
1592,0.000682200
1594,0.000697200
1595,0.000505100
1597,0.000575600
1598,0.000589400
